product_id,name,category,price
P001,Product 1,clothing,96.5
P002,Product 2,electronics,484.94
P003,Product 3,home,388.69
P004,Product 4,books,470.05
P005,Product 5,electronics,447.94
P006,Product 6,books,199.99
P007,Product 7,home,461.33
P008,Product 8,home,48.8
P009,Product 9,electronics,102.01
P010,Product 10,home,27.39
P011,Product 11,clothing,0.0
P012,Product 12,home,197.4
P013,Product 13,books,139.32
P014,Product 14,books,415.23
P015,Product 15,books,181.59
P016,Product 16,books,144.06
P017,Product 17,clothing,273.63
P018,Product 18,toys,74.76
P019,Product 19,electronics,402.09
P020,Product 20,books,41.9
P021,Product 21,home,493.51
P022,Product 22,books,387.26
P023,Product 23,home,103.36
P024,Product 24,home,7.73
P025,Product 25,books,408.65
P026,Product 26,electronics,123.45
